Date,Month,Route,Actual,Predicted,Day,Year
1,1,69.0,Security,Operations - Operator,Sunday,2023
1,1,35.0,Cleaning - Unsanitary,Operations - Operator,Sunday,2023
1,1,52.0,Emergency Services,Operations - Operator,Sunday,2023
1,1,24.0,Cleaning - Unsanitary,Operations - Operator,Sunday,2023
1,1,36.0,Cleaning - Unsanitary,Operations - Operator,Sunday,2023
1,1,300.0,Diversion,Diversion,Sunday,2023
1,1,320.0,Emergency Services,Operations - Operator,Sunday,2023
1,1,307.0,Security,Operations - Operator,Sunday,2023
1,1,35.0,Operations - Operator,Mechanical,Sunday,2023
1,1,73.0,Mechanical,Operations - Operator,Sunday,2023
1,1,102.0,Mechanical,Operations - Operator,Sunday,2023
1,1,320.0,Security,Security,Sunday,2023
1,1,90.0,Emergency Services,Operations - Operator,Sunday,2023
1,1,112.0,Mechanical,Operations - Operator,Sunday,2023
1,1,72.0,Operations - Operator,Operations - Operator,Sunday,2023
1,1,34.0,Mechanical,Mechanical,Sunday,2023
1,1,106.0,Operations - Operator,Operations - Operator,Sunday,2023
1,1,84.0,Operations - Operator,Mechanical,Sunday,2023
1,1,81.0,Cleaning - Unsanitary,Operations - Operator,Sunday,2023
1,1,36.0,Operations - Operator,Mechanical,Sunday,2023
1,1,63.0,Operations - Operator,Operations - Operator,Sunday,2023
1,1,25.0,Operations - Operator,Operations - Operator,Sunday,2023
1,1,24.0,Operations - Operator,Mechanical,Sunday,2023
1,1,63.0,Operations - Operator,Operations - Operator,Sunday,2023
1,1,57.0,Emergency Services,Collision - TTC,Sunday,2023
1,1,86.0,Operations - Operator,Operations - Operator,Sunday,2023
1,1,124.0,Operations - Operator,Mechanical,Sunday,2023
1,1,96.0,Operations - Operator,Operations - Operator,Sunday,2023
1,1,38.0,Mechanical,Mechanical,Sunday,2023
1,1,34.0,Operations - Operator,Operations - Operator,Sunday,2023
1,1,59.0,Operations - Operator,Mechanical,Sunday,2023
1,1,43.0,Emergency Services,Mechanical,Sunday,2023
1,1,51.0,Mechanical,Mechanical,Sunday,2023
1,1,85.0,Mechanical,Operations - Operator,Sunday,2023
1,1,34.0,Operations - Operator,Operations - Operator,Sunday,2023
1,1,87.0,Diversion,Diversion,Sunday,2023
1,1,47.0,Mechanical,Operations - Operator,Sunday,2023
1,1,96.0,Operations - Operator,Mechanical,Sunday,2023
1,1,51.0,Mechanical,Mechanical,Sunday,2023
1,1,32.0,Mechanical,Mechanical,Sunday,2023
1,1,71.0,Mechanical,Operations - Operator,Sunday,2023
1,1,165.0,Mechanical,Operations - Operator,Sunday,2023
1,1,36.0,Mechanical,Operations - Operator,Sunday,2023
1,1,63.0,Mechanical,Mechanical,Sunday,2023
1,1,108.0,Mechanical,Operations - Operator,Sunday,2023
1,1,68.0,Mechanical,Operations - Operator,Sunday,2023
1,1,96.0,Mechanical,Operations - Operator,Sunday,2023
1,1,89.0,Cleaning - Unsanitary,Mechanical,Sunday,2023
1,1,53.0,Mechanical,Operations - Operator,Sunday,2023
1,1,960.0,Operations - Operator,Operations - Operator,Sunday,2023
1,1,96.0,Mechanical,Operations - Operator,Sunday,2023
1,1,34.0,Collision - TTC,Operations - Operator,Sunday,2023
1,1,95.0,Mechanical,Operations - Operator,Sunday,2023
1,1,504.0,Operations - Operator,Operations - Operator,Sunday,2023
1,1,13.0,Operations - Operator,Operations - Operator,Sunday,2023
1,1,94.0,Mechanical,Operations - Operator,Sunday,2023
1,1,11.0,Mechanical,Operations - Operator,Sunday,2023
1,1,929.0,Mechanical,Operations - Operator,Sunday,2023
